date,State0,State1,State2,Comp#,AverageState,S0Percent,S1Percent,S2Percent
2010-11-26,812,1112,719,2643,0.9648127128263337,0.30722663639803255,0.4207340143776012,0.27203934922436623
2010-11-29,796,1139,736,2671,0.9775365031823288,0.29801572444777236,0.4264320479221265,0.27555222763010107
2010-11-30,791,1138,742,2671,0.9816548109322352,0.2961437663796331,0.4260576563084987,0.2777985773118682
2010-12-01,798,1138,739,2675,0.9779439252336448,0.2983177570093458,0.42542056074766355,0.27626168224299064
2010-12-02,803,1129,740,2672,0.9764221556886228,0.3005239520958084,0.42252994011976047,0.27694610778443113
2010-12-03,816,1128,731,2675,0.9682242990654205,0.3050467289719626,0.4216822429906542,0.2732710280373832
2010-12-06,826,1126,717,2669,0.9591607343574372,0.30947920569501686,0.421880854252529,0.2686399400524541
2010-12-07,828,1116,725,2669,0.9614087673285875,0.3102285500187336,0.4181341326339453,0.2716373173473211
2010-12-08,830,1110,727,2667,0.9613798275215598,0.31121109861267343,0.4161979752530934,0.27259092613423325
2010-12-09,835,1110,722,2667,0.9576302962129734,0.3130858642669666,0.4161979752530934,0.27071616047994
2010-12-10,848,1099,720,2667,0.9520059992500938,0.31796025496812896,0.4120734908136483,0.26996625421822273
2010-12-13,868,1096,704,2668,0.9385307346326837,0.32533733133433285,0.4107946026986507,0.2638680659670165
2010-12-14,874,1094,699,2667,0.9343832020997376,0.3277090363704537,0.41019872515935507,0.26209223847019125
2010-12-15,874,1095,697,2666,0.9336084021005251,0.3278319579894974,0.41072768192048015,0.2614403600900225
2010-12-16,890,1089,691,2670,0.9254681647940075,0.3333333333333333,0.40786516853932586,0.2588014981273408
2010-12-17,907,1075,685,2667,0.9167604049493814,0.3400824896887889,0.40307461567304087,0.2568428946381702
2010-12-20,939,1053,678,2670,0.902247191011236,0.35168539325842696,0.3943820224719101,0.2539325842696629
2010-12-21,975,1025,669,2669,0.8853503184713376,0.3653053578119146,0.3840389659048333,0.25065567628325214
2010-12-22,984,1023,656,2663,0.8768306421329328,0.36950807360120164,0.3841532106646639,0.24633871573413443
2010-12-23,1006,999,650,2655,0.8659133709981167,0.3789077212806026,0.376271186440678,0.2448210922787194
2010-12-27,1007,997,650,2654,0.8654860587792012,0.3794272795779955,0.3756593820648078,0.2449133383571967
2010-12-28,1010,1004,642,2656,0.8614457831325302,0.3802710843373494,0.37801204819277107,0.24171686746987953
2010-12-29,1003,1013,643,2659,0.8646107559232794,0.37720947724708537,0.3809702895825498,0.2418202331703648
2010-12-30,989,1020,654,2663,0.8742020277882088,0.37138565527600453,0.3830266616597822,0.2455876830642133
2010-12-31,955,1041,663,2659,0.8901842798044377,0.35915757803685594,0.3915005641218503,0.24934185784129373
2011-01-03,815,1099,677,2591,0.9467387109224238,0.3145503666538016,0.42416055576997297,0.2612890775762254
2011-01-04,767,1142,686,2595,0.96878612716763,0.2955684007707129,0.44007707129094414,0.26435452793834296
2011-01-05,771,1141,682,2594,0.9656900539707016,0.2972243639167309,0.43986121819583657,0.2629144178874325
2011-01-06,767,1136,688,2591,0.9695098417599383,0.2960247008876882,0.43844075646468544,0.2655345426476264
2011-01-07,760,1151,684,2595,0.9707129094412331,0.2928709055876686,0.4435452793834297,0.2635838150289017
2011-01-10,757,1152,686,2595,0.9726396917148362,0.29171483622350675,0.4439306358381503,0.26435452793834296
